size,avg.computation,avg.mpi
64,9e-06,8e-05
128,3.88e-05,0.0001238
256,0.0002349,0.0006554
512,0.0016422,0.001449
1024,0.0179047,0.0009542
2048,0.299742,0.0066935
4069,2.465203,0.2043566
