size,avg.computation,avg.mpi
64,9.7e-06,0.0001627
128,3.7e-05,0.0003216
256,0.0002046,0.0006164
512,0.0014064,0.0021665
1024,0.020265,0.0068544
2048,0.3304621,0.0280165
4069,2.6719085,0.2920929
