id,flags,runtime,speedup
17,-march=native -floop-strip-mine,36.86,1.09169831795985
29,-march=native -floop-block -floop-interchange -floop-strip-mine,36.84,1.09229098805646
97,-march=native -funroll-loops -flto,36.84,1.09229098805646
127,-march=native -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -funroll-loops -flto,36.84,1.09229098805646
117,-march=native -floop-block -floop-strip-mine -funroll-loops -flto,36.83,1.09258756448547
123,-march=native -fomit-frame-pointer -floop-interchange -floop-strip-mine -funroll-loops -flto,36.83,1.09258756448547
21,-march=native -floop-block -floop-strip-mine,36.81,1.09318120076066
103,-march=native -fomit-frame-pointer -floop-block -funroll-loops -flto,36.81,1.09318120076066
25,-march=native -floop-interchange -floop-strip-mine,36.8,1.09347826086957
3,-march=native -fomit-frame-pointer,36.79,1.09377548246806
27,-march=native -fomit-frame-pointer -floop-interchange -floop-strip-mine,36.78,1.09407286568787
121,-march=native -floop-interchange -floop-strip-mine -funroll-loops -flto,36.78,1.09407286568787
19,-march=native -fomit-frame-pointer -floop-strip-mine,36.75,1.09496598639456
111,-march=native -fomit-frame-pointer -floop-block -floop-interchange -funroll-loops -flto,36.75,1.09496598639456
113,-march=native -floop-strip-mine -funroll-loops -flto,36.75,1.09496598639456
115,-march=native -fomit-frame-pointer -floop-strip-mine -funroll-loops -flto,36.75,1.09496598639456
125,-march=native -floop-block -floop-interchange -floop-strip-mine -funroll-loops -flto,36.75,1.09496598639456
109,-march=native -floop-block -floop-interchange -funroll-loops -flto,36.73,1.09556221072693
107,-march=native -fomit-frame-pointer -floop-interchange -funroll-loops -flto,36.72,1.0958605664488
101,-march=native -floop-block -funroll-loops -flto,36.7,1.09645776566757
119,-march=native -fomit-frame-pointer -floop-block -floop-strip-mine -funroll-loops -flto,36.68,1.09705561613959
105,-march=native -floop-interchange -funroll-loops -flto,36.67,1.09735478592855
99,-march=native -fomit-frame-pointer -funroll-loops -flto,36.64,1.09825327510917
61,-march=native -floop-block -floop-interchange -floop-strip-mine -funroll-loops,36.63,1.0985530985531
63,-march=native -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -funroll-loops,36.63,1.0985530985531
59,-march=native -fomit-frame-pointer -floop-interchange -floop-strip-mine -funroll-loops,36.6,1.09945355191257
55,-march=native -fomit-frame-pointer -floop-block -floop-strip-mine -funroll-loops,36.59,1.09975403115605
43,-march=native -fomit-frame-pointer -floop-interchange -funroll-loops,36.57,1.10035548263604
39,-march=native -fomit-frame-pointer -floop-block -funroll-loops,36.54,1.10125889436234
35,-march=native -fomit-frame-pointer -funroll-loops,36.52,1.10186199342826
37,-march=native -floop-block -funroll-loops,36.52,1.10186199342826
51,-march=native -fomit-frame-pointer -floop-strip-mine -funroll-loops,36.51,1.10216379074226
57,-march=native -floop-interchange -floop-strip-mine -funroll-loops,36.51,1.10216379074226
45,-march=native -floop-block -floop-interchange -funroll-loops,36.5,1.10246575342466
33,-march=native -funroll-loops,36.49,1.1027678816114
49,-march=native -floop-strip-mine -funroll-loops,36.49,1.1027678816114
53,-march=native -floop-block -floop-strip-mine -funroll-loops,36.49,1.1027678816114
47,-march=native -fomit-frame-pointer -floop-block -floop-interchange -funroll-loops,36.47,1.1033726350425
41,-march=native -floop-interchange -funroll-loops,36.46,1.10367526055952
0,no flag - reference,40.24,1
