64,0.0001252,0.0002898
128,0.0004367,0.0001073
256,0.0007171,0.0002851
512,0.0026209,0.0004842
1024,0.0180481,0.0006407
2048,0.3049242,0.0022481
4069,2.493832,0.0006992
